Player,Team,Age,Height,Weight,GP,MIN,FREQ,DFGM,DFGA,FG%
Al Horford,BOS,33,82,245,68,1973,44.3%,244.0,432.0,61.7
Alan Williams,BKN,26,80,265,5,26,30.8%,1.0,4.0,61.0
Alex Len,ATL,26,85,250,77,1544,46.1%,216.0,376.0,62.0
Amir Johnson,PHI,32,81,240,51,529,47.2%,75.0,128.0,62.1
Andre Drummond,DET,25,83,279,79,2647,48.0%,317.0,564.0,62.7
Andrew Bogut,GSW,34,84,260,11,134,33.9%,9.0,19.0,58.7
Angel Delgado,LAC,24,82,245,2,15,16.7%,1.0,1.0,66.7
Ante Zizic,CLE,22,83,254,59,1082,43.1%,130.0,209.0,62.4
Anthony Davis,NOP,26,82,253,56,1850,44.5%,235.0,376.0,62.7
Aron Baynes,BOS,32,82,260,51,821,43.9%,118.0,215.0,61.0
Bam Adebayo,MIA,21,82,255,82,1913,37.7%,153.0,274.0,61.6
Bismack Biyombo,CHA,26,81,255,54,782,43.8%,87.0,152.0,61.8
Boban Marjanovic,PHI,30,87,290,58,681,43.1%,96.0,173.0,62.1
Brook Lopez,MIL,31,84,270,81,2322,39.9%,266.0,523.0,62.3
Channing Frye,CLE,36,84,255,36,341,41.2%,47.0,68.0,63.5
Clint Capela,HOU,25,82,240,67,2249,43.4%,300.0,516.0,62.3
Cody Zeller,CHA,26,84,240,49,1243,45.4%,158.0,269.0,61.7
Cristiano Felicio,CHI,26,82,265,60,746,45.4%,100.0,169.0,62.1
Damian Jones,GSW,24,84,245,24,410,35.9%,58.0,93.0,61.9
DeAndre Jordan,NYK,30,83,265,69,2047,40.6%,165.0,292.0,62.9
DeMarcus Cousins,GSW,28,83,270,30,771,36.3%,91.0,162.0,63.4
Deandre Ayton,PHX,20,85,250,71,2183,43.7%,305.0,485.0,63.2
Derrick Favors,UTA,27,82,265,76,1766,45.7%,213.0,431.0,62.0
Dewayne Dedmon,ATL,29,84,245,64,1609,40.8%,181.0,319.0,61.7
Deyonta Davis,ATL,22,83,237,9,118,45.5%,18.0,30.0,64.5
Donatas Motiejunas,SAS,28,84,220,3,13,16.7%,1.0,1.0,56.4
Dwight Howard,WAS,33,83,265,9,230,47.4%,20.0,37.0,61.5
Dwight Powell,DAL,27,83,240,77,1663,34.0%,156.0,257.0,62.2
Ed Davis,BKN,30,82,225,81,1446,46.0%,203.0,328.0,62.4
Ekpe Udoh,UTA,32,82,245,51,320,52.1%,44.0,85.0,59.8
Enes Kanter,POR,27,83,250,67,1639,48.3%,218.0,353.0,62.9
Eric Moreland,TOR,27,82,238,5,43,66.7%,7.0,10.0,55.7
Frank Kaminsky,CHA,26,84,242,47,755,41.4%,92.0,147.0,62.4
Gorgui Dieng,MIN,29,83,252,76,1031,44.2%,127.0,217.0,63.0
Greg Monroe,PHI,29,83,265,43,480,50.8%,82.0,133.0,60.4
Harry Giles III,SAC,21,82,240,58,820,41.8%,96.0,154.0,62.2
Hassan Whiteside,MIA,30,84,265,72,1674,52.7%,206.0,418.0,62.5
Ian Mahinmi,WAS,32,83,262,34,498,47.1%,60.0,105.0,60.9
Ike Anigbogu,IND,20,82,250,3,6,100.0%,4.0,4.0,63.1
Isaac Humphries,ATL,21,84,260,5,56,29.6%,5.0,8.0,64.5
Isaiah Hartenstein,HOU,21,84,249,28,221,30.7%,19.0,39.0,61.9
Ivica Zubac,LAC,22,85,240,59,1039,54.4%,169.0,323.0,62.8
JaVale McGee,LAL,31,84,270,75,1671,51.8%,251.0,484.0,62.1
Jahlil Okafor,NOP,23,83,275,59,935,52.9%,137.0,256.0,61.8
Jakob Poeltl,SAS,23,84,230,77,1273,49.9%,196.0,345.0,62.0
Jaren Jackson Jr.,MEM,19,83,242,58,1515,45.8%,141.0,281.0,62.4
Jarrett Allen,BKN,21,83,237,80,2096,48.4%,302.0,551.0,62.9
Jason Smith,NOP,33,84,240,20,191,41.1%,24.0,39.0,60.7
Joakim Noah,MEM,34,83,230,42,692,40.7%,73.0,131.0,62.2
Joel Embiid,PHI,25,84,250,64,2154,49.9%,303.0,585.0,61.6
John Collins,ATL,21,82,235,61,1828,39.7%,172.0,310.0,62.6
Jonas Valanciunas,MEM,27,84,265,49,1091,47.6%,128.0,254.0,62.5
Julius Randle,NOP,24,81,250,73,2232,38.6%,220.0,354.0,62.6
Justin Patton,PHI,22,84,241,3,21,50.0%,4.0,4.0,76.0
Jusuf Nurkic,POR,24,84,275,72,1974,50.3%,267.0,502.0,62.8
Karl-Anthony Towns,MIN,23,84,248,77,2545,46.4%,303.0,543.0,62.6
Kenneth Faried,HOU,29,80,220,37,728,36.0%,70.0,116.0,63.5
Kevin Love,CLE,30,82,251,22,598,44.1%,59.0,101.0,62.0
Kevon Looney,GSW,23,81,220,80,1481,33.1%,169.0,291.0,61.8
Khem Birch,ORL,26,81,233,50,643,51.5%,78.0,150.0,61.3
Kosta Koufos,SAC,30,84,245,42,502,39.8%,60.0,102.0,60.9
Kyle O'Quinn,IND,29,82,250,45,371,43.9%,43.0,82.0,59.8
LaMarcus Aldridge,SAS,33,83,260,81,2687,38.1%,224.0,427.0,62.5
Luke Kornet,NYK,23,85,250,46,784,47.7%,111.0,217.0,62.2
Marc Gasol,TOR,34,85,255,79,2436,49.5%,260.0,444.0,61.7
Marcin Gortat,LAC,35,83,240,47,750,48.0%,112.0,189.0,62.3
Mason Plumlee,DEN,29,83,235,82,1731,44.5%,184.0,330.0,62.6
Meyers Leonard,POR,27,85,255,61,878,37.1%,92.0,135.0,63.0
Mike Muscala,LAL,27,83,240,64,1306,43.2%,153.0,265.0,61.8
Miles Plumlee,ATL,30,83,249,18,173,60.0%,30.0,48.0,62.2
Mitchell Robinson,NYK,21,85,240,66,1360,41.3%,157.0,295.0,62.2
Mo Bamba,ORL,21,84,221,47,766,52.1%,114.0,200.0,61.8
Montrezl Harrell,LAC,25,80,240,82,2158,40.2%,240.0,437.0,61.8
Moritz Wagner,LAL,22,83,245,43,446,33.3%,41.0,74.0,62.5
Myles Turner,IND,23,83,250,74,2119,56.9%,341.0,628.0,62.3
Nene,HOU,36,83,250,42,546,44.3%,55.0,108.0,62.6
Nerlens Noel,OKC,25,83,220,77,1056,50.9%,146.0,269.0,62.6
Nikola Jokic,DEN,24,84,250,80,2504,47.6%,336.0,564.0,63.4
Nikola Vucevic,ORL,28,84,260,80,2510,49.7%,320.0,583.0,62.1
Pau Gasol,MIL,38,84,250,30,361,51.2%,46.0,88.0,63.0
Richaun Holmes,PHX,25,82,235,70,1184,46.3%,154.0,280.0,62.2
Robert Williams III,BOS,21,82,240,32,283,51.3%,36.0,78.0,60.7
Robin Lopez,CHI,31,84,275,74,1606,43.6%,193.0,363.0,62.4
Rudy Gobert,UTA,27,85,245,81,2577,48.9%,359.0,698.0,62.6
Salah Mejri,DAL,33,86,235,36,399,54.1%,67.0,120.0,61.3
Serge Ibaka,TOR,29,82,235,74,2010,45.7%,238.0,449.0,62.1
Steven Adams,OKC,25,84,265,80,2669,44.4%,330.0,574.0,62.1
Thomas Bryant,WAS,21,83,248,72,1496,51.7%,242.0,405.0,62.7
Thomas Welsh,DEN,23,84,255,11,36,20.0%,2.0,3.0,62.6
Tony Bradley,UTA,21,82,248,3,36,52.9%,4.0,9.0,58.6
Tristan Thompson,CLE,28,82,238,43,1198,42.8%,114.0,203.0,62.2
Tyler Zeller,MEM,29,84,253,6,93,47.8%,9.0,22.0,62.5
Tyson Chandler,LAL,36,85,240,55,875,49.4%,145.0,244.0,63.1
Wendell Carter Jr.,CHI,20,82,255,44,1110,46.2%,143.0,252.0,62.6
Willie Cauley-Stein,SAC,25,84,240,81,2213,42.7%,278.0,423.0,63.0
Willy Hernangomez,CHA,25,83,240,58,812,51.7%,129.0,186.0,61.9
Zach Collins,POR,21,84,235,77,1356,48.5%,176.0,318.0,62.0
Zaza Pachulia,DET,35,83,270,68,878,49.7%,122.0,213.0,62.5
